UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,07207,2207207,Padre Marcos
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,07306,2207306,Paes Landim
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,07355,2207355,Pajeú do Piauí
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,07405,2207405,Palmeira do Piauí
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,07504,2207504,Palmeirais
22,Piauí,04,Sudeste Piauiense,013,Picos,07553,2207553,Paquetá
22,Piauí,03,Sudoeste Piauiense,012,Chapadas do Extremo Sul Piauiense,07603,2207603,Parnaguá
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,07702,2207702,Parnaíba
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,07751,2207751,Passagem Franca do Piauí
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,07777,2207777,Patos do Piauí
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,07793,2207793,Pau D'Arco do Piauí
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,07801,2207801,Paulistana
22,Piauí,03,Sudoeste Piauiense,009,Floriano,07850,2207850,Pavussu
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,07900,2207900,Pedro II
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,07934,2207934,Pedro Laurentino
22,Piauí,04,Sudeste Piauiense,013,Picos,08007,2208007,Picos
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,08106,2208106,Pimenteiras
22,Piauí,04,Sudeste Piauiense,014,Pio IX,08205,2208205,Pio IX
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,08304,2208304,Piracuruca
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,08403,2208403,Piripiri
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,08502,2208502,Porto
22,Piauí,03,Sudoeste Piauiense,008,Bertolínia,08551,2208551,Porto Alegre do Piauí
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,08601,2208601,Prata do Piauí
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,08650,2208650,Queimada Nova
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,08700,2208700,Redenção do Gurguéia
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,08809,2208809,Regeneração
22,Piauí,03,Sudoeste Piauiense,012,Chapadas do Extremo Sul Piauiense,08858,2208858,Riacho Frio
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,08874,2208874,Ribeira do Piauí
22,Piauí,03,Sudoeste Piauiense,007,Alto Parnaíba Piauiense,08908,2208908,Ribeiro Gonçalves
22,Piauí,03,Sudoeste Piauiense,009,Floriano,09005,2209005,Rio Grande do Piauí
22,Piauí,04,Sudeste Piauiense,013,Picos,09104,2209104,Santa Cruz do Piauí
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,09153,2209153,Santa Cruz dos Milagres
22,Piauí,03,Sudoeste Piauiense,007,Alto Parnaíba Piauiense,09203,2209203,Santa Filomena
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,09302,2209302,Santa Luz
22,Piauí,04,Sudeste Piauiense,013,Picos,09377,2209377,Santa Rosa do Piauí
22,Piauí,04,Sudeste Piauiense,013,Picos,09351,2209351,Santana do Piauí
22,Piauí,04,Sudeste Piauiense,014,Pio IX,09401,2209401,Santo Antônio de Lisboa
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,09450,2209450,Santo Antônio dos Milagres
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,09500,2209500,Santo Inácio do Piauí
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,09559,2209559,São Braz do Piauí
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,09609,2209609,São Félix do Piauí
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,09658,2209658,São Francisco de Assis do Piauí
22,Piauí,03,Sudoeste Piauiense,009,Floriano,09708,2209708,São Francisco do Piauí
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,09757,2209757,São Gonçalo do Gurguéia
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,09807,2209807,São Gonçalo do Piauí
22,Piauí,04,Sudeste Piauiense,013,Picos,09856,2209856,São João da Canabrava
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,09872,2209872,São João da Fronteira
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,09906,2209906,São João da Serra
22,Piauí,04,Sudeste Piauiense,013,Picos,09955,2209955,São João da Varjota
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,09971,2209971,São João do Arraial
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,10003,2210003,São João do Piauí
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,10052,2210052,São José do Divino
22,Piauí,03,Sudoeste Piauiense,009,Floriano,10102,2210102,São José do Peixe
22,Piauí,04,Sudeste Piauiense,013,Picos,10201,2210201,São José do Piauí
22,Piauí,04,Sudeste Piauiense,014,Pio IX,10300,2210300,São Julião
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,10359,2210359,São Lourenço do Piauí
22,Piauí,04,Sudeste Piauiense,013,Picos,10375,2210375,São Luis do Piauí
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,10383,2210383,São Miguel da Baixa Grande
22,Piauí,03,Sudoeste Piauiense,009,Floriano,10391,2210391,São Miguel do Fidalgo
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,10409,2210409,São Miguel do Tapuio
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,10508,2210508,São Pedro do Piauí
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,10607,2210607,São Raimundo Nonato
22,Piauí,03,Sudoeste Piauiense,012,Chapadas do Extremo Sul Piauiense,10623,2210623,Sebastião Barros
22,Piauí,03,Sudoeste Piauiense,008,Bertolínia,10631,2210631,Sebastião Leal
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,10656,2210656,Sigefredo Pacheco
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,10706,2210706,Simões
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,10805,2210805,Simplício Mendes
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,10904,2210904,Socorro do Piauí
22,Piauí,04,Sudeste Piauiense,013,Picos,10938,2210938,Sussuapara
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,10953,2210953,Tamboril do Piauí
22,Piauí,04,Sudeste Piauiense,013,Picos,10979,2210979,Tanque do Piauí
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,11001,2211001,Teresina
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,11100,2211100,União
22,Piauí,03,Sudoeste Piauiense,007,Alto Parnaíba Piauiense,11209,2211209,Uruçuí
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,11308,2211308,Valença do Piauí
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,11357,2211357,Várzea Branca
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,11407,2211407,Várzea Grande
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,11506,2211506,Vera Mendes
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,11605,2211605,Vila Nova do Piauí
22,Piauí,04,Sudeste Piauiense,013,Picos,11704,2211704,Wall Ferraz
